,"Starting ""Step""",Created knownStepMatrix,Created unknownStepMatrix,"Started ""Compute""",Reshaped Wave Function,Matrix Multiplication,Solved For Independant Terms and Reshaped,"Appended Wave Function and Finished ""Compute""","Computed and Finished ""Step"""
0,87803.050973284,87803.052826796,87803.054422524,87803.054425807,87803.054535038,87803.055572038,87805.165353149,87805.165712761,87805.165717929
1,87805.166505037,87805.168680237,87805.170355235,87805.170358517,87805.170466841,87805.171401733,87807.323827787,87807.324246694,87807.32425298
2,87807.324863879,87807.3269376,87807.328831968,87807.328835739,87807.329000145,87807.330178713,87809.449484187,87809.449933405,87809.44994004
3,87809.450580273,87809.452722228,87809.454427886,87809.454431238,87809.454642717,87809.455609177,87811.556929814,87811.557310657,87811.557316873
4,87811.557917925,87811.560131188,87811.561900611,87811.561903963,87811.562139607,87811.562985941,87813.703056345,87813.703438446,87813.703444103
5,87813.704136577,87813.706210367,87813.707946755,87813.707950597,87813.70815132,87813.709043469,87815.979189891,87815.979575273,87815.979581
6,87815.980166199,87815.982439525,87815.984174446,87815.984178217,87815.984406807,87815.985236519,87818.121412517,87818.121842319,87818.121848465
7,87818.122479898,87818.124602437,87818.1262972,87818.12630153,87818.126519015,87818.127464803,87820.268425821,87820.2687774,87820.268783616
8,87820.269410649,87820.271654432,87820.273440128,87820.273444458,87820.27362381,87820.274470354,87822.3946714,87822.395037926,87822.39504463
9,87822.395698273,87822.397907624,87822.399685079,87822.399688431,87822.399884335,87822.400743031,87824.57554937,87824.575904721,87824.575911495
10,87824.576676464,87824.578925905,87824.580687925,87824.580690718,87824.580901848,87824.581745318,87826.800687287,87826.80101114,87826.801017286
11,87826.801624065,87826.803827201,87826.805556395,87826.805559259,87826.805742801,87826.806608132,87828.948070888,87828.948420093,87828.94842575
12,87828.949040561,87828.95138694,87828.953096091,87828.953099932,87828.953315671,87828.954184493,87831.157819889,87831.158192212,87831.158198986
13,87831.158824064,87831.161047872,87831.162719588,87831.162723918,87831.162829587,87831.16381707,87833.292102357,87833.292462178,87833.292468813
14,87833.293161706,87833.295480848,87833.29722834,87833.297232601,87833.297362365,87833.298430724,87835.406710951,87835.407079083,87835.407084251
15,87835.407671126,87835.409845138,87835.411683214,87835.411686637,87835.411826738,87835.412870023,87837.516762277,87837.517162955,87837.517169171
16,87837.517761842,87837.519991797,87837.521719944,87837.521722877,87837.521873105,87837.522914924,87839.64989558,87839.650265319,87839.650281871
17,87839.650876917,87839.653053094,87839.654793533,87839.654796885,87839.654927139,87839.655927612,87841.778576517,87841.77895303,87841.778958827
18,87841.779532501,87841.781657415,87841.783384165,87841.783387936,87841.783555904,87841.784495546,87843.899729008,87843.900111946,87843.900118022
19,87843.900680312,87843.903573897,87843.905205244,87843.905208527,87843.905315034,87843.906156409,87846.095760529,87846.096145353,87846.09615115
20,87846.096714628,87846.098874532,87846.100481085,87846.100484508,87846.100618533,87846.101570047,87848.285675441,87848.285993288,87848.285999085
21,87848.286587146,87848.28867267,87848.290266024,87848.290280201,87848.290389503,87848.291377334,87850.779737707,87850.780185458,87850.780191604
22,87850.781604767,87850.783634837,87850.785229867,87850.785233708,87850.785378139,87850.786449291,87852.893979426,87852.894345951,87852.894351748
23,87852.894892737,87852.896964083,87852.898533132,87852.898535995,87852.898644389,87852.89949184,87855.014422052,87855.014814768,87855.014820565
24,87855.015511852,87855.017660023,87855.019263922,87855.019267833,87855.01942288,87855.020423353,87857.171716796,87857.172102039,87857.172107696
25,87857.172648685,87857.17478163,87857.176398869,87857.176402711,87857.176525421,87857.177394803,87859.266318654,87859.266713395,87859.2667201
26,87859.267281692,87859.26948804,87859.271120505,87859.271122879,87859.27126326,87859.272102959,87861.44682444,87861.447217855,87861.447223582
27,87861.447788875,87861.44991337,87861.451616584,87861.451619936,87861.45176751,87861.452696536,87863.594987397,87863.59536831,87863.595373618
28,87863.596102479,87863.598208257,87863.599830525,87863.599833807,87863.599944366,87863.600819334,87865.712823486,87865.713174717,87865.713180863
29,87865.71372255,87865.715860384,87865.717480557,87865.717483909,87865.717604106,87865.718657169,87867.872375213,87867.872757173,87867.872763878
30,87867.873425063,87867.875729539,87867.8779083,87867.877911652,87867.878083531,87867.879287591,87870.010187796,87870.010694982,87870.010702595
31,87870.011261113,87870.013263736,87870.014987133,87870.01499286,87870.015197355,87870.016341631,87872.157468451,87872.157845104,87872.157851669
32,87872.158403134,87872.160655019,87872.162235522,87872.162239363,87872.162356277,87872.163184731,87874.264225515,87874.264627869,87874.264634434
33,87874.265160617,87874.267159747,87874.268817564,87874.268821335,87874.268961646,87874.269964773,87876.452691645,87876.453094837,87876.453100424
34,87876.453673679,87876.455790771,87876.45746514,87876.457468982,87876.457626403,87876.458451366,87878.587780357,87878.588163226,87878.588168813
35,87878.588721815,87878.590982639,87878.592595828,87878.592600228,87878.592714767,87878.593573672,87880.721784788,87880.722165771,87880.722172336
36,87880.722751947,87880.725079889,87880.726737915,87880.726741756,87880.726879134,87880.727774356,87882.872743412,87882.873110078,87882.873115665
37,87882.873705473,87882.875810761,87882.87742814,87882.877431423,87882.877565308,87882.878474987,87885.032443761,87885.03283934,87885.032845556
38,87885.033368316,87885.035511249,87885.037131771,87885.037136031,87885.037244983,87885.038192028,87887.174574197,87887.174952875,87887.174959021
39,87887.175503572,87887.177682473,87887.179335052,87887.179338893,87887.179469426,87887.180342369,87889.329703309,87889.330116559,87889.330122775
40,87889.330724525,87889.332769331,87889.334435879,87889.33443965,87889.334598957,87889.335658725,87891.54419801,87891.544573406,87891.544579622
41,87891.545080871,87891.547246711,87891.548808357,87891.548812199,87891.548927087,87891.549867706,87893.696669321,87893.697080615,87893.697086342
42,87893.697641858,87893.699769635,87893.701391205,87893.701394557,87893.701528861,87893.702475836,87895.855485343,87895.855893284,87895.855899011
43,87895.856440698,87895.858508482,87895.860102115,87895.860105956,87895.860281677,87895.861484828,87898.005874762,87898.006307497,87898.006313085
44,87898.006901635,87898.009352846,87898.011070866,87898.011074638,87898.011227729,87898.012316202,87900.169543968,87900.169886259,87900.169891986
45,87900.170449317,87900.172539031,87900.174114017,87900.174118347,87900.174234283,87900.175176648,87902.330773766,87902.331152095,87902.33115831
46,87902.331710544,87902.333779794,87902.33540297,87902.335406322,87902.335533433,87902.336607099,87904.515900236,87904.516250838,87904.516256565
47,87904.51679497,87904.518874557,87904.52045925,87904.520462533,87904.52057365,87904.521570282,87906.767366273,87906.767727421,87906.767733078
48,87906.76828573,87906.770661164,87906.772294676,87906.772301241,87906.772421996,87906.773267632,87908.915233313,87908.915619813,87908.915625051
49,87908.91619677,87908.918495519,87908.920298954,87908.920303284,87908.920436401,87908.921538283,87911.133538751,87911.13389927,87911.133905137
50,87911.134445567,87911.136525573,87911.138239891,87911.138243174,87911.1383809,87911.139406865,87913.295742482,87913.296235071,87913.296242753
51,87913.297138255,87913.299448806,87913.301240998,87913.30124435,87913.301374464,87913.302491013,87915.892883148,87915.893280474,87915.893285781
52,87915.894049773,87915.896181252,87915.898114871,87915.89811969,87915.898280464,87915.899229045,87918.507992309,87918.508384257,87918.508398993
53,87918.508984611,87918.511780976,87918.513483282,87918.513486634,87918.513607948,87918.51467484,87920.833757905,87920.834096704,87920.834102431
54,87920.834735191,87920.837220415,87920.838907774,87920.838911546,87920.839048364,87920.84003431,87922.707678607,87922.708070346,87922.708076143
55,87922.708660852,87922.710820896,87922.712549811,87922.712553652,87922.712715614,87922.713673064,87925.077564539,87925.078066207,87925.078073401
56,87925.078764757,87925.081083969,87925.082742554,87925.082746745,87925.082879652,87925.083796176,87927.197645738,87927.198035241,87927.198041876
57,87927.198608706,87927.200843689,87927.202595093,87927.202598935,87927.202736661,87927.203612398,87929.130047072,87929.13044335,87929.130449077
58,87929.131038117,87929.133281341,87929.135014587,87929.135018847,87929.135157551,87929.136084761,87931.130947388,87931.131347647,87931.131353374
